solvent_name_1,solvent_name_2,solvent_name_3,cas_number,chemical_formula,smiles,source
N-methylpyrrolidon,n-methyl-2-pyrrolidinone,,872-50-4,C5H9NO,CN1CCCC1=O,https://doi.org/10.1039/C9SC01844A
"N,N-diethylaniline","n,n-diethyl-benzeneamine",,91-66-7,C10H15N,CCN(CC)c1ccccc1,https://doi.org/10.1039/C9SC01844A
"N,N-dimethylacetamide","n,n-dimethylacetamide",,127-19-5,C4H9NO,CN(C)C(C)=O,https://doi.org/10.1039/C9SC01844A
"N,N-dimethylaniline","n,n-dimethylaniline",,121-69-7,C8H11N,CN(C)c1ccccc1,https://doi.org/10.1039/C9SC01844A
"N,N-dimethylcyclohexylamine","n,n-dimethylcyclohexylamine",,98-94-2,C8H17N,CN(C)C1CCCCC1,https://doi.org/10.1039/C9SC01844A
"N,N-dimethylformamide",dimethylformamide,,68-12-2,C3H7NO,CN(C)C=O,https://doi.org/10.1039/C9SC01844A
"N,N,N',N'-tetramethylurea",tetramethylurea,,632-22-4,C5H12N2O,CN(C)C(=O)N(C)C,https://doi.org/10.1039/C9SC01844A
naphthalene,,,91-20-3,C10H8,c1ccc2ccccc2c1,https://doi.org/10.1039/C9SC01844A
nitric acid,nitricacid,,7697-37-2,HNO3,O[N+]([O-])=O,https://doi.org/10.1039/C9SC01844A
nitrobenzene,,,98-95-3,C6H5NO2,[O-][N+](=O)c1ccccc1,https://doi.org/10.1039/C9SC01844A
nitroethane,,,79-24-3,C2H5NO2,CC[N+]([O-])=O,https://doi.org/10.1039/C9SC01844A
nitromethane,,,75-52-5,CH3NO2,C[N+]([O-])=O,https://doi.org/10.1039/C9SC01844A
nonane,n-nonane,,111-84-2,C9H20,CCCCCCCCC,https://doi.org/10.1039/C9SC01844A
nonanol,1-nonanol,,143-08-8,C9H20O,CCCCCCCCCO,https://doi.org/10.1039/C9SC01844A
octane,,,111-65-9,C8H18,CCCCCCCC,https://doi.org/10.1039/C9SC01844A
octanoic acid,"1-bromo-1,2,2,2-tetrafluoroethane",,124-07-2,C8H16O2,CCCCCCCC(O)=O,https://doi.org/10.1039/C9SC01844A
octanol,1-octanol,,111-87-5,C8H18O,CCCCCCCCO,https://doi.org/10.1039/C9SC01844A
octylamine,1-octanamine,,111-86-4,C8H19N,CCCCCCCCN,https://doi.org/10.1039/C9SC01844A
oxane,thp,Tetrahydropyran,142-68-7,C5H10O,C1CCOCC1,https://doi.org/10.1039/C9SC01844A
oxirane,ethyleneoxide,,75-21-8,C2H4O,C1CO1,https://doi.org/10.1039/C9SC01844A
oxolan-2-one,gamma-butyrolactone,,96-48-0,C4H6O2,O=C1CCCO1,https://doi.org/10.1039/C9SC01844A
pentachloroethane,,,76-01-7,C2HCl5,ClC(Cl)C(Cl)(Cl)Cl,https://doi.org/10.1039/C9SC01844A
pentanal,valeraldehyde,,110-62-3,C5H10O,CCCCC=O,https://doi.org/10.1039/C9SC01844A
pentane,,,109-66-0,C5H12,CCCCC,https://doi.org/10.1039/C9SC01844A
pentanenitrile,valeronitrile,,110-59-8,C5H9N,CCCCC#N,https://doi.org/10.1039/C9SC01844A
pentanoic acid,n-bucooh,,109-52-4,C5H10O2,CCCCC(O)=O,https://doi.org/10.1039/C9SC01844A
pentyl acetate,n-pentylacetate,,628-63-7,C7H14O2,CCCCCOC(C)=O,https://doi.org/10.1039/C9SC01844A
pentyl formate,formicacidpentylester,,638-49-3,C6H12O2,CCCCCOC=O,https://doi.org/10.1039/C9SC01844A
pentylamine,n-pentylamine,,110-58-7,C5H13N,CCCCCN,https://doi.org/10.1039/C9SC01844A
perfluoro-n-octane,perfluorooctane,,307-34-6,C8F18,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,https://doi.org/10.1039/C9SC01844A
perfluoro(methylcyclohexane),perfluoromethylcyclohexane,,355-02-2,C7F14,FC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,https://doi.org/10.1039/C9SC01844A
phenol,,,108-95-2,C6H6O,Oc1ccccc1,https://doi.org/10.1039/C9SC01844A
phenyl acetate,phenylacetate,,122-79-2,C8H8O2,CC(=O)Oc1ccccc1,https://doi.org/10.1039/C9SC01844A
