,stenutz_name,cosmo_name,other_name,cas_number,chemical_formula,smiles
65,1-chloro-2-methylpropane,1-chloro-2-methyl-propane,,513-36-0,C4H9Cl,CC(C)CCl
66,1-chloro-3-methylbutane,isoamylchloride,,107-84-6,C5H11Cl,CC(C)CCCl
67,1-chlorobutane,1-chlorobutane,,109-69-3,C4H9Cl,CCCCCl
68,1-chlorohexane,1-chlorohexane,,544-10-5,C6H13Cl,CCCCCCCl
69,1-chloronaphthalene,1-chloronaphthalene,,90-13-1,C10H7Cl,Clc1cccc2ccccc12
70,1-chlorooctane,1-chlorooctane,,111-85-3,C8H17Cl,CCCCCCCCCl
71,1-chloropentane,1-chloropentane,,543-59-9,C5H11Cl,CCCCCCl
72,1-chloropropane,1-chloropropane,,540-54-5,C3H7Cl,CCCCl
73,1-dodecanol,dodecanol,,112-53-8,C12H26O,CCCCCCCCCCCCO
74,1-ethyl-4-methylbenzene,1-ethyl-4-methylbenzene,,622-96-8,C9H12,CCc1ccc(C)cc1
75,1-hexanethiol,1-hexanethiol,,111-31-9,C6H14S,CCCCCCS
76,1-hexene,1-hexene,,592-41-6,C6H12,CCCCC=C
77,1-iodobutane,1-iodobutane,,542-69-8,C4H9I,CCCCI
78,1-iodohexane,1-iodo-hexane,,638-45-9,C6H13I,CCCCCCI
79,1-iodopentane,1-iodopentane,,628-17-1,C5H11I,CCCCCI
80,1-iodopropane,1-iodopropane,,107-08-4,C3H7I,CC(C)I
81,1-methoxy-2-methylbenzene,1-methoxy-2-methylbenzene,,578-58-5,C8H10O,COc1ccccc1C
82,1-methoxy-3-methylbenzene,3-methylanisole,,100-84-5,C8H10O,COc1cccc(C)c1
83,1-methoxy-4-methylbenzene,4-methylanisole,,104-93-8,C8H10O,COc1ccc(C)cc1
84,1-methylnaphthalene,1-methylnaphthalene,,90-12-0,C11H10,Cc1cccc2ccccc12
85,1-nitropropane,1-nitropropane,,108-03-2,C3H7NO2,CCC[N+]([O-])=O
86,1-octene,octene,,111-66-0,C8H16,CCCCCCC=C
87,1-pentanethiol,1-pentanethiol,,110-66-7,C5H12S,CCCCCS
88,1-pentene,pentene,,109-67-1,C5H10,CCCC=C
89,1-phenyl-1-propanone,propiophenone,,93-55-0,C9H10O,CCC(=O)c1ccccc1
90,"2,2,3-trimethylbutane","2,2,3-trimethylbutane",,464-06-2,C7H16,CC(C)C(C)(C)C
91,"2,2-dichloropropane","2,2-dichloropropane",,594-20-7,C3H6Cl2,CC(C)(Cl)Cl
92,"2,2-dimethylbutane","2,2-dimethylbutane",,75-83-2,C6H14,CCC(C)(C)C
93,"2,2-dimethylpentane","2,2-dimethylpentane",,590-35-2,C7H16,CCCC(C)(C)C
94,"2,2-dimethylpropane",neopentane,,463-82-1,C5H12,CC(C)(C)C
95,"2,3,4,5,6-pentafluorotoluene",n-methylpentafluorobenzene,,771-56-2,C7H3F5,Cc1c(F)c(F)c(F)c(F)c1F
96,"2,3-dimethyl-1,3-butadiene","2,3-dimethyl-1,3-butadiene",,513-81-5,C6H10,CC(=C)C(C)=C
97,"2,3-dimethylpentane","2,3-dimethylpentane",,565-59-3,C7H16,CCC(C)C(C)C
98,"2,4,6-trimethyl-1,3,5-trioxane",paraldehyde,,123-63-7,C6H12O3,CC1OC(C)OC(C)O1
99,"2,4,6-trimethylpyridine","2,4,6-collidine",,108-75-8,C8H11N,Cc1cc(C)nc(C)c1
100,"2,4-dimethyl-3-pentanone","2,4-dimethyl-3-pentanone",,565-80-0,C7H14O,CC(C)C(=O)C(C)C
101,"2,4-dimethylaniline","2,4-dimethylaniline",,95-68-1,C8H11N,Cc1ccc(N)c(C)c1
102,"2,4-dimethylpentane","2,4-dimethylpentane",,108-08-7,C7H16,CC(C)CC(C)C
103,"2,4-dimethylpyridine","2,4-dimethylpyridine",,108-47-4,C7H9N,Cc1ccnc(C)c1
104,"2,4-pentanedione",acetylacetone,,123-54-6,C5H8O2,CC(=O)CC(C)=O
105,"2,6-dimethyl-4-heptanone","2,6-dimethyl-4-heptanone",,108-83-8,C9H18O,CC(C)CC(=O)CC(C)C
106,"2,6-dimethylpyridine","2,6-dimethylpyridine",,108-48-5,C7H9N,Cc1cccc(C)n1
107,2-(2-aminoethylamino)ethanol,2-(2-aminoethyl)aminoethanol,,111-41-1,C4H12N2O,NCCNCCO
108,2-aminoethanol,ethanolamine,,141-43-5,C2H7NO,NCCO
109,2-bromobutane,2-bromobutane,,78-76-2,C4H9Br,CCC(C)Br
110,2-bromopropane,2-bromopropane,,75-26-3,C3H7Br,CC(C)Br
111,2-butoxyethanol,2-butoxyethanol,,111-76-2,C6H14O2,CCCCOCCO
112,2-chloro-2-methylpropane,2-chloro-2-methylpropane,,507-20-0,C4H9Cl,CC(C)(C)Cl
113,2-chloroaniline,2-chloroaniline,,95-51-2,C6H6ClN,Nc1ccccc1Cl
114,2-chlorobutane,2-chlorobutane,,78-86-4,C4H9Cl,CCC(C)Cl
115,2-cyanopyridine,2-cyanopyridine,,100-70-9,C6H4N2,N#Cc1ccccn1
116,2-ethoxyethanol,ethoxyethanol,,110-80-5,C4H10O2,CCOCCO
117,2-heptanone,2-heptanone,,110-43-0,C7H14O,CCCCCC(C)=O
118,2-hexanone,2-hexanone,,591-78-6,C6H12O,CCCCC(C)=O
119,2-iodopropane,2-iodopropane,,75-30-9,C3H7I,CC(C)I
120,2-methoxy-2-methylpropane,methyl-t-butylether,,1634-04-4,C5H12O,COC(C)(C)C
121,2-methoxyaniline,1-cis-2-trans-3-trimethylcyclopentane,,90-04-0,C7H9NO,COc1ccccc1N
122,2-methoxyethanol,2-methoxyethanol,,109-86-4,C3H8O2,COCCO
123,2-methyl-1-butene,2-methyl-1-butene,,563-46-2,C5H10,CCC(C)=C
124,2-methyl-1-heptanol,2-methyl-1-heptanol,,60435-70-3,C8H18O,CCCCCC(C)CO
125,2-methyl-2-butanol,2-methyl-2-butanol,,75-85-4,C5H12O,CCC(C)(C)O
126,2-methyl-2-phenylpropane,"(1,1-dimethylethyl)benzene",,98-06-6,C10H14,CC(C)(C)c1ccccc1
127,2-methyl-2-propanamine,2-amino-2-methylpropane,,75-64-9,C4H11N,CC(C)(C)N
128,2-methyl-2-propanethiol,tert-butylthiol,,75-66-1,C4H10S,CC(C)(C)S
129,2-methyl-2-propanol,tert-butanol,,75-65-0,C4H10O,CC(C)(C)O
130,2-methyl-3-heptanol,2-methyl-3-heptanol,,18720-62-2,C8H18O,CCCCC(O)C(C)C
131,2-methylaniline,2-methyl-benzeneamine,,95-53-4,C7H9N,Cc1ccccc1N
132,2-methylbenzonitrile,2-methylbenzonitrile,,529-19-1,C8H7N,Cc1ccccc1C#N
133,2-methylhexane,2-methylhexane,,591-76-4,C7H16,CCCCC(C)C
134,2-methylpentane,2-methylpentane,,107-83-5,C6H14,CCCC(C)C
135,2-methylpropanoic acid,isobutyricacid,,79-31-2,C4H8O2,CC(C)C(O)=O
136,2-methylpropyl acetate,aceticacid-2-methylpropylester,,110-19-0,C6H12O2,CC(C)COC(C)=O
137,2-methylpropyl formate,isobutylformate,,542-55-2,C5H10O2,CC(C)COC=O
138,2-methylpropylamine,2-methyl-1-propanamine,,78-81-9,C4H11N,CC(C)CN
139,2-methylpropylbenzene,isobutylbenzene,,538-93-2,C10H14,CC(C)Cc1ccccc1
140,2-methyltetrahydrofuran,2-methyltetrahydrofuran,,96-47-9,C5H10O,CC1CCCO1
141,2-nitroanisole,1-methoxy-2-nitrobenzene,,91-23-6,C7H7NO3,COc1ccccc1[N+]([O-])=O
142,2-nitropropane,2-nitropropane,,79-46-9,C3H7NO2,CC(C)[N+]([O-])=O
143,2-nitrotoluene,2-nitrotoluene,,88-72-2,C7H7NO2,Cc1ccccc1[N+]([O-])=O
144,2-octanol,2-octanol,,123-96-6,C8H18O,CCCCCCC(C)O
145,2-octanone,2-octanone,,111-13-7,C8H16O,CCCCCCC(C)=O
146,2-phenylacetonitrile,phenylacetonitrile,,140-29-4,C8H7N,N#CCc1ccccc1
147,2-phenylethanol,2-phenylethanol,,60-12-8,C8H10O,OCCc1ccccc1
148,2-propen-1-amine,2-propen-1-amine,,107-11-9,C3H7N,NCC=C
149,2-propen-1-ol,2-propen-1-ol,,107-18-6,C3H6O,OCC=C
150,2-propenenitrile,2-propenenitrile,,107-13-1,C3H3N,C=CC#N
151,2-undecanone,2-undecanone,,112-12-9,C11H22O,CCCCCCCCCC(C)=O
152,"3,3-dimethyl-2-butanone","3,3-dimethyl-2-butanone",,75-97-8,C6H12O,CC(=O)C(C)(C)C
153,"3,3-dimethylpentane","3,3-dimethylpentane",,562-49-2,C7H16,CCC(C)(C)CC
154,"3,4-dimethylpyridine","3,4-dimethylpyridine",,583-58-4,C7H9N,Cc1ccncc1C
155,"3,6,9-trioxaundecane","1,1'-oxybis-2-ethoxy-ethane",,112-36-7,C8H18O3,CCOCCOCCOCC
156,3-bromoaniline,3-bromoaniline,,591-19-5,C6H6BrN,Nc1cccc(Br)c1
157,3-bromopentane,3-bromopentane,,1809-10-5,C5H11Br,CCC(Br)CC
158,3-bromopropene,3-bromopropene,,106-95-6,C3H5Br,BrCC=C
159,3-bromopyridine,3-bromopyridine,,626-55-1,C5H4BrN,Brc1cccnc1
160,3-chloroaniline,3-chlorobenzeneamine,,108-42-9,C6H6ClN,Nc1cccc(Cl)c1
161,3-chloropropene,3-chloropropene,,107-05-1,C3H5Cl,ClCC=C
162,3-chlorotoluene,3-chlorotoluene,,108-41-8,C7H7Cl,Cc1cccc(Cl)c1
163,3-ethylpentane,3-ethylpentane,,617-78-7,C7H16,CCC(CC)CC
164,3-heptanol,3-heptanol,,589-82-2,C7H16O,CCCCC(O)CC
165,3-heptanone,3-heptanone,,106-35-4,C7H14O,CCCCC(=O)CC
166,3-isothiocyanatopropene,dmtt(dazomet),,57-06-7,C4H5NS,C=CCN=C=S
167,3-methyl-1-butanol,isopentanol,,123-51-3,C5H12O,CC(C)CCO
168,3-methyl-2-butanone,3-methyl-2-butanone,,563-80-4,C5H10O,CC(C)C(C)=O
169,3-methylaniline,3-methylaniline,,108-44-1,C7H9N,Cc1cccc(N)c1
170,3-methylbutanoic acid,isovalericacid,,503-74-2,C5H10O2,CC(C)CC(O)=O
171,3-methylhexane,3-methyl-hexane,,589-34-4,C7H16,CCCC(C)CC
172,3-methylphenol,3-hydroxytoluene,,108-39-4,C7H8O,Cc1cccc(O)c1
173,3-methylpyridine,3-picoline,,108-99-6,C6H7N,Cc1cccnc1
174,3-octanol,3-octanol,,589-98-0,C8H18O,CCCCCC(O)CC
175,3-pentanone,3-pentanone,,96-22-0,C5H10O,CCC(=O)CC
176,"4,N,N-trimethylaniline","n,n,4-trimethylaniline",,99-97-8,C9H13N,CN(C)c1ccc(C)cc1
177,4-chlorotoluene,1-chloro-4-methylbenzene,,106-43-4,C7H7Cl,Cc1ccc(Cl)cc1
